timestamp,tof1,tof2,tof3,tof4
2025-07-23 11:58:57.704433,2,0,0,0
2025-07-23 11:58:57.819105,21,0,0,0
2025-07-23 11:58:57.966961,26,0,0,0
2025-07-23 11:58:58.121361,30,0,0,0
2025-07-23 11:58:58.265658,32,0,0,0
2025-07-23 11:58:58.401394,34,0,0,0
2025-07-23 11:58:58.410546,34,0,0,0
2025-07-23 11:58:58.532263,26,0,0,0
2025-07-23 11:58:58.532263,30,0,0,0
2025-07-23 11:58:58.584402,32,0,0,0
2025-07-23 11:58:58.802707,33,0,0,0
2025-07-23 11:58:58.855565,33,0,0,0
2025-07-23 11:58:58.855565,35,0,0,0
2025-07-23 11:58:58.934774,37,0,0,0
2025-07-23 11:58:59.017804,37,0,0,0
2025-07-23 11:58:59.215656,47,0,0,0
2025-07-23 11:58:59.419274,57,0,0,0
2025-07-23 11:58:59.582127,67,0,0,0
2025-07-23 11:58:59.790408,76,0,0,0
2025-07-23 11:58:59.905611,78,0,0,0
2025-07-23 11:59:00.005931,85,0,0,0
2025-07-23 11:59:00.082566,85,0,0,0
2025-07-23 11:59:00.199964,87,0,0,0
2025-07-23 11:59:00.304617,89,0,0,0
2025-07-23 11:59:00.415211,92,0,0,0
2025-07-23 11:59:00.437852,94,0,0,0
2025-07-23 11:59:00.580992,93,0,0,0
2025-07-23 11:59:00.715148,98,0,0,0
2025-07-23 11:59:00.715148,106,0,0,0
2025-07-23 11:59:00.817312,106,0,0,0
2025-07-23 11:59:00.823334,106,0,0,0
2025-07-23 11:59:00.965048,111,0,0,0
2025-07-23 11:59:01.119382,111,0,0,0
2025-07-23 11:59:01.123418,121,0,0,0
2025-07-23 11:59:01.265106,119,0,0,0
2025-07-23 11:59:01.284006,125,0,0,0
2025-07-23 11:59:01.364553,125,0,0,0
2025-07-23 11:59:01.383933,127,0,0,0
2025-07-23 11:59:01.466090,126,0,0,0
2025-07-23 11:59:01.482204,127,0,0,0
2025-07-23 11:59:01.612904,125,0,0,0
2025-07-23 11:59:01.612904,130,0,0,0
2025-07-23 11:59:01.784329,136,0,0,0
2025-07-23 11:59:01.914682,137,0,0,0
2025-07-23 11:59:02.082783,141,0,0,0
2025-07-23 11:59:02.215178,148,0,0,0
2025-07-23 11:59:02.365341,148,0,0,0
2025-07-23 11:59:02.419747,148,0,0,0
2025-07-23 11:59:02.483590,151,0,0,0
2025-07-23 11:59:02.618373,152,0,0,0
2025-07-23 11:59:02.701030,153,0,0,0
2025-07-23 11:59:02.765521,154,0,0,0
2025-07-23 11:59:02.783166,153,0,0,0
2025-07-23 11:59:02.898027,154,0,0,0
2025-07-23 11:59:03.098702,154,0,0,0
2025-07-23 11:59:03.301879,153,0,0,0
2025-07-23 11:59:03.323986,154,0,0,0
2025-07-23 11:59:03.518113,155,0,0,0
2025-07-23 11:59:03.616546,148,0,0,0
2025-07-23 11:59:03.616546,148,0,0,0
2025-07-23 11:59:03.717090,151,0,0,0
2025-07-23 11:59:03.725671,153,0,0,0
2025-07-23 11:59:03.865948,157,0,0,0
2025-07-23 11:59:03.931419,156,0,0,0
2025-07-23 11:59:04.131326,156,0,0,0
2025-07-23 11:59:04.132815,155,0,0,0
2025-07-23 11:59:04.335031,158,0,0,0
2025-07-23 11:59:04.540743,157,0,0,0
2025-07-23 11:59:04.623111,157,0,0,0
2025-07-23 11:59:04.623686,157,0,0,0
2025-07-23 11:59:04.764617,160,0,0,0
2025-07-23 11:59:04.868270,160,0,0,0
2025-07-23 11:59:04.871759,162,0,0,0
2025-07-23 11:59:04.967548,161,0,0,0
2025-07-23 11:59:05.065067,161,0,0,0
2025-07-23 11:59:05.156332,162,0,0,0
2025-07-23 11:59:05.166760,161,0,0,0
2025-07-23 11:59:05.361585,162,0,0,0
2025-07-23 11:59:05.564902,161,0,0,0
2025-07-23 11:59:05.623026,162,0,0,0
2025-07-23 11:59:05.764431,163,0,0,0
2025-07-23 11:59:05.764431,162,0,0,0
2025-07-23 11:59:05.863427,163,0,0,0
2025-07-23 11:59:05.964331,163,0,0,0
2025-07-23 11:59:05.984073,163,0,0,0
2025-07-23 11:59:06.180153,162,0,0,0
2025-07-23 11:59:06.379329,163,0,0,0
2025-07-23 11:59:06.579043,163,0,0,0
2025-07-23 11:59:06.594884,161,0,0,0
2025-07-23 11:59:06.784259,163,0,0,0
2025-07-23 11:59:06.804348,163,0,0,0
2025-07-23 11:59:06.999668,161,0,0,0
2025-07-23 11:59:07.202683,160,0,0,0
2025-07-23 11:59:07.398912,158,0,0,0
2025-07-23 11:59:07.612928,157,0,0,0
2025-07-23 11:59:07.612928,157,0,0,0
2025-07-23 11:59:07.807874,157,0,0,0
2025-07-23 11:59:08.022731,155,0,0,0
2025-07-23 11:59:08.033388,156,0,0,0
2025-07-23 11:59:08.043965,156,0,0,0
2025-07-23 11:59:08.229277,155,0,0,0
2025-07-23 11:59:08.232795,155,0,0,0
2025-07-23 11:59:08.433772,153,0,0,0
2025-07-23 11:59:08.434931,154,0,0,0
2025-07-23 11:59:08.634392,151,0,0,0
2025-07-23 11:59:08.665482,151,0,0,0
2025-07-23 11:59:08.831400,149,0,0,0
2025-07-23 11:59:09.042798,146,0,0,0
2025-07-23 11:59:09.244179,147,0,0,0
2025-07-23 11:59:09.263575,146,0,0,0
2025-07-23 11:59:09.443796,147,0,0,0
2025-07-23 11:59:09.661390,146,0,0,0
2025-07-23 11:59:09.863471,146,0,0,0
2025-07-23 11:59:10.069573,144,0,0,0
2025-07-23 11:59:10.074678,145,0,0,0
2025-07-23 11:59:10.263848,146,0,0,0
2025-07-23 11:59:10.284570,144,0,0,0
2025-07-23 11:59:10.479626,145,0,0,0
2025-07-23 11:59:10.479626,143,0,0,0
2025-07-23 11:59:10.664194,146,0,0,0
2025-07-23 11:59:10.880260,146,0,0,0
2025-07-23 11:59:10.898360,145,0,0,0
2025-07-23 11:59:11.095506,145,0,0,0
2025-07-23 11:59:11.100891,146,0,0,0
2025-07-23 11:59:11.298265,147,0,0,0
2025-07-23 11:59:11.492394,144,0,0,0
2025-07-23 11:59:11.504558,145,0,0,0
2025-07-23 11:59:11.663449,145,0,0,0
2025-07-23 11:59:11.763233,144,0,0,0
2025-07-23 11:59:11.831802,144,0,0,0
2025-07-23 11:59:11.831802,143,0,0,0
2025-07-23 11:59:11.929729,141,0,0,0
2025-07-23 11:59:11.998688,143,0,0,0
2025-07-23 11:59:12.021503,143,0,0,0
2025-07-23 11:59:12.097082,144,0,0,0
2025-07-23 11:59:12.180295,142,0,0,0
2025-07-23 11:59:12.318212,143,0,0,0
2025-07-23 11:59:12.480879,144,0,0,0
2025-07-23 11:59:12.634408,142,0,0,0
2025-07-23 11:59:12.729811,143,0,0,0
2025-07-23 11:59:12.882061,142,0,0,0
2025-07-23 11:59:13.029605,140,0,0,0
2025-07-23 11:59:13.176971,140,0,0,0
2025-07-23 11:59:13.198738,139,0,0,0
2025-07-23 11:59:13.302314,141,0,0,0
2025-07-23 11:59:13.405743,141,0,0,0
2025-07-23 11:59:13.565608,140,0,0,0
2025-07-23 11:59:13.695082,139,0,0,0
2025-07-23 11:59:13.864832,141,0,0,0
2025-07-23 11:59:13.978834,137,0,0,0
2025-07-23 11:59:14.126550,140,0,0,0
2025-07-23 11:59:14.282184,139,0,0,0
2025-07-23 11:59:14.319868,140,0,0,0
2025-07-23 11:59:14.364682,138,0,0,0
2025-07-23 11:59:14.561259,138,0,0,0
2025-07-23 11:59:14.577062,138,0,0,0
2025-07-23 11:59:14.712961,137,0,0,0
2025-07-23 11:59:14.783544,139,0,0,0
2025-07-23 11:59:14.978328,139,0,0,0
2025-07-23 11:59:15.179231,137,0,0,0
2025-07-23 11:59:15.195074,135,0,0,0
2025-07-23 11:59:15.396111,134,0,0,0
2025-07-23 11:59:15.597890,133,0,0,0
2025-07-23 11:59:15.597890,135,0,0,0
2025-07-23 11:59:15.715608,134,0,0,0
2025-07-23 11:59:15.802503,133,0,0,0
2025-07-23 11:59:16.005942,135,0,0,0
2025-07-23 11:59:16.016322,131,0,0,0
2025-07-23 11:59:16.214493,130,0,0,0
2025-07-23 11:59:16.414238,128,0,0,0
2025-07-23 11:59:16.414238,129,0,0,0
2025-07-23 11:59:16.616207,125,0,0,0
2025-07-23 11:59:16.716134,125,0,0,0
2025-07-23 11:59:16.716134,126,0,0,0
2025-07-23 11:59:16.829153,126,0,0,0
2025-07-23 11:59:17.030867,122,0,0,0
2025-07-23 11:59:17.037455,115,0,0,0
2025-07-23 11:59:17.232341,120,0,0,0
2025-07-23 11:59:17.232341,123,0,0,0
2025-07-23 11:59:17.431462,119,0,0,0
2025-07-23 11:59:17.646858,107,0,0,0
2025-07-23 11:59:17.651911,114,0,0,0
2025-07-23 11:59:17.731952,109,0,0,0
2025-07-23 11:59:17.848756,108,0,0,0
2025-07-23 11:59:17.863964,109,0,0,0
2025-07-23 11:59:18.047628,109,0,0,0
2025-07-23 11:59:18.063902,107,0,0,0
2025-07-23 11:59:18.248473,105,0,0,0
2025-07-23 11:59:18.464226,106,0,0,0
2025-07-23 11:59:18.464226,108,0,0,0
2025-07-23 11:59:18.673066,105,0,0,0
2025-07-23 11:59:18.684519,105,0,0,0
2025-07-23 11:59:18.744648,102,0,0,0
2025-07-23 11:59:18.813149,100,0,0,0
2025-07-23 11:59:18.880414,100,0,0,0
2025-07-23 11:59:18.920699,98,0,0,0
2025-07-23 11:59:19.079016,91,0,0,0
2025-07-23 11:59:19.280814,90,0,0,0
2025-07-23 11:59:19.491662,87,0,0,0
2025-07-23 11:59:19.496869,88,0,0,0
2025-07-23 11:59:19.690687,85,0,0,0
2025-07-23 11:59:19.690687,85,0,0,0
2025-07-23 11:59:19.765525,80,0,0,0
2025-07-23 11:59:19.895400,86,0,0,0
2025-07-23 11:59:20.093360,79,0,0,0
2025-07-23 11:59:20.311397,76,0,0,0
2025-07-23 11:59:20.314839,79,0,0,0
2025-07-23 11:59:20.511596,78,0,0,0
2025-07-23 11:59:20.525427,76,0,0,0
2025-07-23 11:59:20.710764,81,0,0,0
2025-07-23 11:59:20.721777,78,0,0,0
2025-07-23 11:59:20.819895,79,0,0,0
2025-07-23 11:59:20.830424,81,0,0,0
2025-07-23 11:59:20.863915,75,0,0,0
2025-07-23 11:59:20.930912,71,0,0,0
2025-07-23 11:59:21.060617,71,0,0,0
2025-07-23 11:59:21.130379,65,0,0,0
2025-07-23 11:59:21.328313,68,0,0,0
2025-07-23 11:59:21.528596,68,0,0,0
2025-07-23 11:59:21.528596,64,0,0,0
2025-07-23 11:59:21.743154,62,0,0,0
2025-07-23 11:59:21.770609,57,0,0,0
2025-07-23 11:59:21.784670,62,0,0,0
2025-07-23 11:59:21.912199,56,0,0,0
2025-07-23 11:59:22.147815,52,0,0,0
2025-07-23 11:59:22.159559,49,0,0,0
2025-07-23 11:59:22.352396,42,0,0,0
2025-07-23 11:59:22.363577,42,0,0,0
2025-07-23 11:59:22.563658,37,0,0,0
2025-07-23 11:59:22.759657,30,0,0,0
2025-07-23 11:59:22.781666,31,0,0,0
2025-07-23 11:59:22.967837,28,0,0,0
2025-07-23 11:59:23.178705,25,0,0,0
2025-07-23 11:59:23.183761,26,0,0,0
2025-07-23 11:59:23.382603,21,0,0,0
2025-07-23 11:59:23.579615,16,0,0,0
2025-07-23 11:59:23.782471,18,0,0,0
2025-07-23 11:59:23.995739,16,0,0,0
2025-07-23 11:59:23.995739,13,0,0,0
2025-07-23 11:59:24.201092,13,0,0,0
2025-07-23 11:59:24.405842,12,0,0,0
2025-07-23 11:59:24.612434,10,0,0,0
2025-07-23 11:59:24.625989,9,0,0,0
2025-07-23 11:59:24.794692,11,0,0,0
2025-07-23 11:59:24.844267,7,0,0,0
2025-07-23 11:59:24.884849,12,0,0,0
2025-07-23 11:59:24.930294,10,0,0,0
2025-07-23 11:59:25.011670,7,0,0,0
2025-07-23 11:59:25.224148,4,0,0,0
2025-07-23 11:59:25.422669,5,0,0,0
2025-07-23 11:59:25.446029,6,0,0,0
2025-07-23 11:59:25.627348,5,0,0,0
2025-07-23 11:59:25.797751,5,0,0,0
2025-07-23 11:59:25.835728,3,0,0,0
2025-07-23 11:59:26.041995,3,0,0,0
2025-07-23 11:59:26.248885,6,0,0,0
2025-07-23 11:59:26.264148,6,0,0,0
2025-07-23 11:59:26.455470,5,0,0,0
2025-07-23 11:59:26.645221,3,0,0,0
2025-07-23 11:59:26.802046,3,0,0,0
2025-07-23 11:59:27.065888,2,0,0,0
2025-07-23 11:59:27.076937,6,0,0,0
2025-07-23 11:59:27.272226,4,0,0,0
2025-07-23 11:59:27.275345,2,0,0,0
2025-07-23 11:59:27.477374,4,0,0,0
2025-07-23 11:59:27.477374,3,0,0,0
